	protein_sequence1	protein_sequence2
1474	1922	530
1475	2019	1883
1476	2019	1975
1477	2019	377
1478	2019	692
1479	2019	1
1480	1402	2280
1481	713	1653
1482	713	2280
1483	311	970
1484	311	144
1485	311	422
1486	311	2034
1487	311	377
1488	1575	377
1489	2167	2034
1490	520	2249
1491	520	187
1492	520	1419
1493	520	2280
1494	1772	1653
1495	1772	2211
1496	1521	1653
1497	532	2327
1498	532	908
1499	532	2211
1500	532	1563
1501	1223	1883
1502	1223	1975
1503	1223	377
1504	1223	692
1505	1223	84
1506	1223	2280
1507	1223	1757
1508	1223	1
1509	1598	2280
1510	1598	2211
1511	1311	1653
1512	1311	2331
1513	1311	2211
1514	961	970
1515	961	2327
1516	961	908
1517	961	1653
1518	961	1975
1519	961	377
1520	961	800
1521	961	1957
1522	961	824
1523	961	84
1524	961	2280
1525	961	2211
1526	467	1653
1527	467	2211
1528	1355	1653
1529	1355	1975
1530	1355	401
1531	1355	2211
1532	1355	1563
1533	2313	2331
1534	588	2331
1535	588	377
1536	588	2280
1537	2360	2331
1538	2397	2211
1539	2266	1975
1540	2266	2196
1541	2469	949
1542	2408	1653
1543	2408	2211
1544	2408	1563
1545	807	2034
1546	2328	2280
1547	731	1653
1548	731	2331
1549	731	1975
1550	731	2211
1551	731	2280
1552	2422	1883
1553	2422	1830
1554	2422	2280
1555	1703	970
1556	1703	1653
1557	1703	2589
1558	1703	693
1559	1703	800
1560	1703	84
1561	97	1653
1562	97	2280
1563	97	1563
1564	1326	1653
1565	1326	2331
1566	1326	1572
1567	1326	2280
1568	1326	2211
1569	2324	171
1570	2324	970
1571	2324	1653
1572	2324	2331
1573	2324	693
1574	2324	1975
1575	2324	377
1576	2324	124
1577	2324	692
1578	2324	824
1579	2324	84
1580	2324	1710
1581	2324	1787
1582	2324	26
1583	2324	401
1584	2324	1981
1585	2324	2453
1586	2324	503
1587	698	171
1588	698	1653
1589	698	2034
1590	698	2331
1591	698	1975
1592	698	692
1593	698	1787
1594	698	2211
1595	698	416
1596	1254	949
1597	2215	2034
1598	2215	2331
1599	2215	949
1600	1162	970
1601	1162	1653
1602	1162	1822
1603	1162	1883
1604	1162	2331
1605	1162	800
1606	1162	84
1607	1162	2211
1608	1162	2453
1609	1162	1563
1610	1162	2280
1611	763	2211
1612	660	1653
1613	660	1975
1614	660	377
1615	660	1563
1616	777	2331
1617	777	2211
1618	2609	1653
1619	2609	2280
1620	2609	1563
1621	2676	2280
1622	1483	1653
1623	1483	1981
1624	1483	1563
1625	2579	377
1626	891	2034
1627	92	780
1628	92	1710
1629	92	2107
1630	92	244
1631	92	394
1632	92	1119
